date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|threadact|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
25/09/18|16:28:53|100904|890464|215572819|99.95|278481|1132114|5030621|94.51|281523602|9421912|6660462|39065425|560220|150468|130447|158056|1046|0|0|0|0|0|0|0|0|0|0|5295.60|2948.60|1227|3681|4109|692|462519338|0|0|23|211023|507899|4927|91053|18460|40020|26502|337|349|P-1|52|256|453473|3268|138.76|6:53|1023947|398953|116|0.01|L-1|6|256|1257205|94286|3069|13.3|30.7|OLDRSAM|1255768|185633888|305000|4923|11537555456|2729939|86847|0|423|43|7|66228|0|20213421|20357507|1|16|100000|0|122.06|61.44|183.50|112.53|44.41|156.94|1041.59|571.75|1613.34|903.51|453.57|1357.08|909.58|487.65|1397.23|906.62|450.33|1356.95|1053.52|549.37|1602.89|23.49|12.43|35.92|14.73|11.88|26.61|9.82|9.88|19.70|9.48|10.25|19.73|7.16|7.90|15.06|7.60|8.38|15.98|6.81|7.62|14.43|7.14|8.02|15.16|7.72|8.17|15.89|6.60|7.79|14.39|
25/09/18|16:29:49|100904|890464|215607168|99.95|278481|1132114|5032125|94.51|281573945|9423598|6661355|39071299|560294|150483|130450|158065|1046|0|0|0|0|0|0|0|0|0|0|5296.34|2948.98|1227|3681|4109|692|462568250|0|0|23|211095|508013|4927|91053|18460|40020|26502|336|348|P-1|74|256|453473|3268|138.76|6:53|1023947|398953|138|0.01|L-1|8|256|1257257|94286|3069|13.3|30.7|OLDRSAM|1255820|185638556|305000|4923|11537555456|2729965|86821|0|422|43|7|66238|0|20216855|20360963|1|17|100000|0|122.07|61.44|183.51|112.54|44.41|156.95|1041.73|571.82|1613.55|903.70|453.68|1357.38|909.66|487.70|1397.36|906.80|450.39|1357.19|1053.61|549.42|1603.03|23.50|12.43|35.93|14.74|11.88|26.62|9.82|9.88|19.70|9.48|10.25|19.73|7.16|7.90|15.06|7.60|8.38|15.98|6.81|7.62|14.43|7.14|8.02|15.16|7.72|8.17|15.89|6.60|7.79|14.39|
25/09/18|16:30:44|100904|890464|215643665|99.95|278481|1132114|5033132|94.52|281628479|9425254|6662154|39078334|560342|150493|130450|158071|1046|0|0|0|0|0|0|0|0|0|0|5297.15|2949.33|1227|3681|4109|692|462651637|0|0|23|211145|508105|4927|91053|18460|40020|26502|335|347|P-2|0|256|453473|3268|138.76|6:53|1023947|399243|52|0.01|L-3|0|256|1257281|94286|3069|13.3|30.7|OLDRSAM|1255844|185640908|305000|4934|11537555456|2729937|86849|0|421|43|7|66247|0|20220201|20364335|1|0|100000|0|122.08|61.45|183.53|112.55|44.42|156.97|1041.92|571.88|1613.80|903.88|453.75|1357.63|909.78|487.78|1397.56|907.00|450.45|1357.45|1053.70|549.46|1603.16|23.50|12.43|35.93|14.74|11.88|26.62|9.83|9.88|19.71|9.48|10.25|19.73|7.16|7.90|15.06|7.60|8.38|15.98|6.81|7.62|14.43|7.14|8.02|15.16|7.72|8.17|15.89|6.60|7.79|14.39|
25/09/18|16:31:40|100904|890464|215676290|99.95|278659|1132740|5034266|94.51|281675068|9426751|6662915|39084016|560393|150508|130453|158080|1046|0|0|0|0|0|0|0|0|0|0|5297.99|2949.70|1228|3684|4109|692|462699317|0|0|23|211193|508199|4927|91053|18460|40020|26502|334|346|P-2|22|256|453763|3270|138.77|6:53|1023947|399243|74|0.01|L-3|2|256|1257336|94297|3071|13.3|30.7|OLDRSAM|1255898|185645660|305000|4934|11537555456|2730001|86785|0|420|43|7|66262|0|20223686|20367847|1|18|100000|0|122.09|61.45|183.54|112.60|44.42|157.02|1042.10|571.93|1614.03|903.99|453.81|1357.80|909.97|487.87|1397.84|907.16|450.53|1357.69|1053.80|549.50|1603.30|23.50|12.43|35.93|14.74|11.88|26.62|9.83|9.88|19.71|9.48|10.25|19.73|7.16|7.90|15.06|7.61|8.38|15.99|6.81|7.62|14.43|7.14|8.02|15.16|7.72|8.17|15.89|6.60|7.80|14.40|
25/09/18|16:32:35|100904|890464|215710544|99.95|278659|1132740|5034306|94.51|281725063|9428329|6663557|39090388|560395|150518|130453|158086|1046|0|0|0|0|0|0|0|0|0|0|5298.80|2950.12|1228|3684|4109|692|462782717|0|0|23|211197|508242|4927|91053|18460|40020|26502|336|349|P-2|22|256|453763|3270|138.77|6:53|1023947|399243|74|0.01|L-3|3|256|1257360|94297|3071|13.3|30.7|OLDRSAM|1255922|185648012|305000|4934|11537555456|2730116|86670|0|422|43|7|66269|0|20226946|20371128|1|16|100000|0|122.11|61.45|183.56|112.61|44.43|157.04|1042.28|572.02|1614.30|904.07|453.89|1357.96|910.18|487.95|1398.13|907.32|450.59|1357.91|1053.94|549.56|1603.50|23.50|12.43|35.93|14.74|11.88|26.62|9.83|9.88|19.71|9.48|10.25|19.73|7.16|7.90|15.06|7.61|8.38|15.99|6.81|7.62|14.43|7.14|8.03|15.17|7.72|8.17|15.89|6.60|7.80|14.40|
25/09/18|16:33:31|100905|890472|215740738|99.95|278659|1132740|5034814|94.51|281767985|9429744|6664221|39095603|560419|150527|130453|158091|1046|0|0|0|0|0|0|0|0|0|0|5299.53|2950.51|1228|3684|4109|692|462827415|0|0|23|211222|508305|4927|91053|18460|40020|26502|335|349|P-2|22|256|453763|3270|138.77|6:53|1023947|399243|74|0.01|L-3|4|256|1257380|94297|3071|13.3|30.7|OLDRSAM|1255942|185649972|305000|4934|11537555456|2730101|86685|0|421|43|7|66279|0|20230278|20374482|1|18|100000|0|122.12|61.46|183.58|112.62|44.43|157.05|1042.44|572.09|1614.53|904.17|453.95|1358.12|910.37|488.04|1398.41|907.41|450.65|1358.06|1054.09|549.62|1603.71|23.51|12.43|35.94|14.74|11.88|26.62|9.83|9.89|19.72|9.48|10.25|19.73|7.16|7.91|15.07|7.61|8.38|15.99|6.81|7.62|14.43|7.14|8.03|15.17|7.72|8.17|15.89|6.60|7.80|14.40|
25/09/18|16:34:26|100905|890472|215775810|99.95|278659|1132740|5035520|94.51|281818864|9431662|6665048|39101817|560465|150550|130453|158108|1046|0|0|0|0|0|0|0|0|0|0|5300.41|2950.89|1228|3684|4109|692|462911034|0|0|23|211257|508398|4927|91053|18460|40020|26502|336|351|P-2|126|256|453763|3270|138.77|6:53|1023947|399243|178|0.02|L-3|10|256|1257525|94297|3071|13.3|30.7|OLDRSAM|1256087|185663100|305000|4934|11537555456|2730162|86624|0|422|43|7|66288|0|20234024|20378250|1|17|100000|0|122.13|61.47|183.60|112.64|44.44|157.08|1042.59|572.15|1614.74|904.31|454.00|1358.31|910.54|488.14|1398.68|907.53|450.70|1358.23|1054.34|549.69|1604.03|23.51|12.43|35.94|14.75|11.88|26.63|9.83|9.89|19.72|9.48|10.25|19.73|7.16|7.91|15.07|7.61|8.38|15.99|6.81|7.62|14.43|7.14|8.03|15.17|7.73|8.17|15.90|6.61|7.80|14.41|
25/09/18|16:35:22|100905|890472|215810079|99.95|278659|1132740|5036531|94.52|281865880|9433115|6665774|39107311|560516|150568|130453|158123|1046|0|0|0|0|0|0|0|0|0|0|5301.21|2951.28|1228|3684|4109|692|462992793|0|0|23|211305|508497|4927|91053|18460|40020|26502|336|350|P-2|134|256|453763|3270|138.77|6:53|1023947|399243|186|0.02|L-3|14|256|1257599|94297|3071|13.3|30.7|OLDRSAM|1256161|185670684|305000|4934|11537555456|2730100|86686|0|422|43|7|66296|0|20237384|20381632|1|18|100000|0|122.14|61.47|183.61|112.65|44.44|157.09|1042.77|572.23|1615.00|904.54|454.10|1358.64|910.62|488.18|1398.80|907.63|450.77|1358.40|1054.50|549.74|1604.24|23.51|12.43|35.94|14.75|11.88|26.63|9.83|9.89|19.72|9.48|10.26|19.74|7.16|7.91|15.07|7.61|8.38|15.99|6.82|7.62|14.44|7.14|8.03|15.17|7.73|8.17|15.90|6.61|7.80|14.41|
25/09/18|16:36:17|100905|890472|215841500|99.95|278901|1133608|5037196|94.51|281910197|9434609|6666472|39112807|560541|150577|130453|158128|1046|0|0|0|0|0|0|0|0|0|0|5301.99|2951.63|1229|3687|4109|692|463071262|0|0|23|211332|508561|4927|91053|18460|40020|26502|336|351|P-2|0|256|454162|3273|138.76|6:53|1023947|399642|76|0.01|L-2|0|256|1257622|94314|3073|13.3|30.7|OLDRSAM|1256183|185672728|305000|4951|11537555456|2730134|86652|0|422|43|7|66302|0|20240614|20384882|1|5|100000|0|122.16|61.48|183.64|112.66|44.45|157.11|1042.90|572.30|1615.20|904.75|454.20|1358.95|910.71|488.22|1398.93|907.71|450.81|1358.52|1054.71|549.80|1604.51|23.51|12.43|35.94|14.75|11.88|26.63|9.83|9.89|19.72|9.48|10.26|19.74|7.16|7.91|15.07|7.61|8.38|15.99|6.82|7.62|14.44|7.14|8.03|15.17|7.73|8.17|15.90|6.61|7.80|14.41|
25/09/18|16:37:12|100905|890472|215870162|99.95|278901|1133608|5037221|94.51|281950513|9435924|6667038|39117466|560542|150587|130453|158134|1046|0|0|0|0|0|0|0|0|0|0|5302.74|2951.97|1229|3687|4109|692|463115217|0|0|23|211334|508598|4927|91053|18460|40020|26502|336|351|P-2|0|256|454162|3273|138.76|6:53|1023947|399642|76|0.01|L-2|1|256|1257646|94314|3073|13.3|30.7|OLDRSAM|1256207|185675080|305000|4951|11537555456|2730178|86608|0|422|43|7|66311|0|20243817|20388116|1|10|100000|0|122.17|61.48|183.65|112.67|44.45|157.12|1043.07|572.35|1615.42|904.94|454.30|1359.24|910.81|488.25|1399.06|907.80|450.87|1358.67|1054.86|549.86|1604.72|23.51|12.43|35.94|14.75|11.88|26.63|9.83|9.89|19.72|9.49|10.26|19.75|7.16|7.91|15.07|7.61|8.38|15.99|6.82|7.62|14.44|7.15|8.03|15.18|7.73|8.17|15.90|6.61|7.80|14.41|
25/09/18|16:38:08|100905|890472|215923640|99.95|278901|1133608|5037725|94.51|282016052|9437552|6667899|39128948|560566|150593|130453|158139|1046|0|0|0|0|0|0|0|0|0|0|5303.53|2952.38|1229|3687|4109|692|463184739|0|0|23|211359|508672|4927|91053|18460|40020|26502|337|351|P-2|0|256|454162|3273|138.76|6:53|1023947|399642|76|0.01|L-2|2|256|1257666|94314|3073|13.3|30.7|OLDRSAM|1256227|185677040|305000|4951|11537555456|2730135|86651|0|423|43|7|66342|0|20247296|20391626|1|18|100000|0|122.19|61.50|183.69|112.69|44.46|157.15|1043.18|572.39|1615.57|905.21|454.40|1359.61|910.93|488.32|1399.25|907.88|450.93|1358.81|1055.00|549.91|1604.91|23.52|12.43|35.95|14.75|11.88|26.63|9.83|9.89|19.72|9.49|10.26|19.75|7.16|7.91|15.07|7.61|8.39|16.00|6.82|7.62|14.44|7.15|8.03|15.18|7.73|8.17|15.90|6.61|7.80|14.41|
25/09/18|16:39:03|100905|890472|215958772|99.95|278901|1133608|5038248|94.51|282062800|9439175|6668797|39135839|560591|150603|130453|158146|1046|0|0|0|0|0|0|0|0|0|0|5304.38|2952.84|1229|3687|4109|692|463268412|0|0|23|211386|508765|4927|91053|18460|40020|26502|335|349|P-2|0|256|454162|3273|138.76|6:53|1023947|399642|76|0.01|L-2|4|256|1257694|94314|3073|13.3|30.7|OLDRSAM|1256255|185680104|305000|4951|11537555456|2730071|86715|0|421|43|7|66372|0|20250935|20395298|1|16|100000|0|122.21|61.51|183.72|112.71|44.47|157.18|1043.28|572.44|1615.72|905.50|454.52|1360.02|911.06|488.40|1399.46|907.98|451.00|1358.98|1055.12|549.96|1605.08|23.52|12.44|35.96|14.76|11.88|26.64|9.83|9.89|19.72|9.49|10.26|19.75|7.16|7.91|15.07|7.61|8.39|16.00|6.82|7.63|14.45|7.15|8.04|15.19|7.73|8.18|15.91|6.61|7.81|14.42|
25/09/18|16:39:59|100905|890472|215986953|99.95|278901|1133608|5038272|94.51|282103240|9440559|6669404|39140586|560592|150612|130453|158151|1046|0|0|0|0|0|0|0|0|0|0|5305.11|2953.18|1229|3687|4109|692|463311097|0|0|23|211388|508811|4927|91053|18460|40020|26502|336|350|P-2|0|256|454162|3273|138.76|6:53|1023947|399642|76|0.01|L-2|5|256|1257714|94314|3073|13.3|30.7|OLDRSAM|1256275|185682064|305000|4951|11537555456|2730189|86597|0|422|43|7|66384|0|20254269|20398654|1|15|100000|0|122.23|61.51|183.74|112.72|44.47|157.19|1043.35|572.49|1615.84|905.74|454.62|1360.36|911.23|488.46|1399.69|908.07|451.04|1359.11|1055.21|550.00|1605.21|23.52|12.44|35.96|14.76|11.89|26.65|9.84|9.89|19.73|9.49|10.26|19.75|7.17|7.92|15.09|7.62|8.39|16.01|6.82|7.63|14.45|7.15|8.04|15.19|7.73|8.18|15.91|6.61|7.81|14.42|
25/09/18|16:40:54|100905|890472|216023252|99.95|279336|1135251|5039975|94.51|282156997|9442835|6670327|39147086|560690|150644|130457|158173|1046|0|0|0|0|0|0|0|0|0|0|5306.05|2953.64|1230|3690|4109|693|463394940|0|0|23|211457|508935|4927|91053|18460|40020|26502|337|351|P-1|80|256|454951|3277|138.83|6:53|1023947|400431|244|0.02|L-1|4|256|1258062|94333|3075|13.3|30.7|OLDRSAM|1256622|185711684|305000|4970|11537555456|2730289|86497|0|423|43|7|66393|0|20258424|20402825|1|18|100000|0|122.24|61.52|183.76|112.77|44.48|157.25|1043.51|572.58|1616.09|905.99|454.73|1360.72|911.48|488.54|1400.02|908.17|451.12|1359.29|1055.33|550.05|1605.38|23.52|12.44|35.96|14.76|11.89|26.65|9.84|9.89|19.73|9.49|10.26|19.75|7.17|7.92|15.09|7.62|8.39|16.01|6.82|7.63|14.45|7.15|8.04|15.19|7.73|8.18|15.91|6.61|7.81|14.42|
25/09/18|16:41:50|100905|890472|216073282|99.95|279336|1135251|5040145|94.51|282221369|9444390|6670985|39152550|560707|150660|130457|158181|1046|0|0|0|0|0|0|0|0|0|0|5306.80|2954.00|1230|3690|4109|694|463480192|0|0|23|211467|509023|4927|91053|18460|40020|26502|335|349|P-1|80|256|454951|3277|138.83|6:53|1023947|400431|244|0.02|L-1|5|256|1258152|94333|3075|13.3|30.7|OLDRSAM|1256712|185719024|305000|4970|11537555456|2730242|86544|0|421|43|7|66400|0|20261716|20406183|1|17|100000|0|122.25|61.53|183.78|112.78|44.48|157.26|1043.71|572.69|1616.40|906.16|454.80|1360.96|911.63|488.59|1400.22|908.26|451.17|1359.43|1055.43|550.10|1605.53|23.52|12.44|35.96|14.76|11.89|26.65|9.84|9.89|19.73|9.49|10.26|19.75|7.17|7.92|15.09|7.62|8.39|16.01|6.82|7.63|14.45|7.15|8.04|15.19|7.74|8.18|15.92|6.61|7.81|14.42|
25/09/18|16:42:45|100905|890472|216106898|99.95|279336|1135251|5041135|94.51|282268648|9446005|6671779|39158836|560754|150669|130457|158186|1046|0|0|0|0|0|0|0|0|0|0|5307.70|2954.39|1230|3690|4109|694|463560905|0|0|23|211515|509114|4927|91053|18460|40020|26502|338|352|P-1|90|256|454951|3277|138.83|6:53|1023947|400431|254|0.02|L-1|7|256|1258172|94333|3075|13.3|30.7|OLDRSAM|1256732|185720984|305000|4970|11537555456|2730501|86285|0|424|43|7|66418|0|20265446|20409944|1|17|100000|0|122.26|61.54|183.80|112.80|44.49|157.29|1043.95|572.81|1616.76|906.32|454.88|1361.20|911.85|488.65|1400.50|908.36|451.21|1359.57|1055.53|550.15|1605.68|23.53|12.44|35.97|14.76|11.89|26.65|9.84|9.89|19.73|9.49|10.26|19.75|7.17|7.92|15.09|7.62|8.39|16.01|6.82|7.63|14.45|7.15|8.04|15.19|7.74|8.18|15.92|6.61|7.81|14.42|
